,Date,Province/State,Days,Growth Rate,New cases,Total cases
53,2020-01-28,Tasmania,6,0.0,0,0
54,2020-01-28,Victoria,6,33.333333333333336,0,1
55,2020-01-28,Western Australia,6,0.0,0,0
56,2020-01-29,Australian Capital Territory,7,0.0,0,0
57,2020-01-29,New South Wales,7,26.666666666666668,0,4
58,2020-01-29,Northern Territory,7,0.0,0,0
59,2020-01-29,Queensland,7,100.0,1,1
60,2020-01-29,South Australia,7,0.0,0,0
61,2020-01-29,Tasmania,7,0.0,0,0
62,2020-01-29,Victoria,7,25.0,0,1
63,2020-01-29,Western Australia,7,0.0,0,0
64,2020-01-30,Australian Capital Territory,8,0.0,0,0
65,2020-01-30,New South Wales,8,21.05263157894737,0,4
66,2020-01-30,Northern Territory,8,0.0,0,0
67,2020-01-30,Queensland,8,74.99999999999999,2,3
68,2020-01-30,South Australia,8,0.0,0,0
69,2020-01-30,Tasmania,8,0.0,0,0
70,2020-01-30,Victoria,8,33.333333333333336,1,2
71,2020-01-30,Western Australia,8,0.0,0,0
72,2020-01-31,Australian Capital Territory,9,0.0,0,0
73,2020-01-31,New South Wales,9,5.0,0,4
74,2020-01-31,Northern Territory,9,0.0,0,0
75,2020-01-31,Queensland,9,33.333333333333336,-1,2
76,2020-01-31,South Australia,9,0.0,0,0
77,2020-01-31,Tasmania,9,0.0,0,0
78,2020-01-31,Victoria,9,25.0,1,3
79,2020-01-31,Western Australia,9,0.0,0,0
80,2020-02-01,Australian Capital Territory,10,0.0,0,0
81,2020-02-01,New South Wales,10,0.0,0,4
82,2020-02-01,Northern Territory,10,0.0,0,0
83,2020-02-01,Queensland,10,33.33333333333333,1,3
84,2020-02-01,South Australia,10,100.0,1,1
85,2020-02-01,Tasmania,10,0.0,0,0
86,2020-02-01,Victoria,10,27.27272727272727,1,4
87,2020-02-01,Western Australia,10,0.0,0,0
88,2020-02-02,Australian Capital Territory,11,0.0,0,0
89,2020-02-02,New South Wales,11,0.0,0,4
90,2020-02-02,Northern Territory,11,0.0,0,0
91,2020-02-02,Queensland,11,18.181818181818183,-1,2
92,2020-02-02,South Australia,11,66.66666666666667,1,2
93,2020-02-02,Tasmania,11,0.0,0,0
94,2020-02-02,Victoria,11,21.42857142857143,0,4
95,2020-02-02,Western Australia,11,0.0,0,0
96,2020-02-03,Australian Capital Territory,12,0.0,0,0
97,2020-02-03,New South Wales,12,0.0,0,4
98,2020-02-03,Northern Territory,12,0.0,0,0
99,2020-02-03,Queensland,12,8.333333333333334,0,2
100,2020-02-03,South Australia,12,40.0,0,2
101,2020-02-03,Tasmania,12,0.0,0,0
102,2020-02-03,Victoria,12,17.647058823529413,0,4
103,2020-02-03,Western Australia,12,0.0,0,0
104,2020-02-04,Australian Capital Territory,13,0.0,0,0
105,2020-02-04,New South Wales,13,0.0,0,4
106,2020-02-04,Northern Territory,13,0.0,0,0
107,2020-02-04,Queensland,13,0.0,1,3
108,2020-02-04,South Australia,13,28.571428571428577,0,2
109,2020-02-04,Tasmania,13,0.0,0,0
110,2020-02-04,Victoria,13,10.526315789473685,0,4
111,2020-02-04,Western Australia,13,0.0,0,0
112,2020-02-05,Australian Capital Territory,14,0.0,0,0
113,2020-02-05,New South Wales,14,0.0,0,4
114,2020-02-05,Northern Territory,14,0.0,0,0
115,2020-02-05,Queensland,14,7.6923076923076925,0,3
116,2020-02-05,South Australia,14,22.222222222222225,0,2
117,2020-02-05,Tasmania,14,0.0,0,0
118,2020-02-05,Victoria,14,5.0,0,4
119,2020-02-05,Western Australia,14,0.0,0,0
120,2020-02-06,Australian Capital Territory,15,0.0,0,0
121,2020-02-06,New South Wales,15,0.0,0,4
122,2020-02-06,Northern Territory,15,0.0,0,0
123,2020-02-06,Queensland,15,7.142857142857144,1,4
124,2020-02-06,South Australia,15,10.0,0,2
125,2020-02-06,Tasmania,15,0.0,0,0
126,2020-02-06,Victoria,15,0.0,0,4
127,2020-02-06,Western Australia,15,0.0,0,0
128,2020-02-07,Australian Capital Territory,16,0.0,0,0
129,2020-02-07,New South Wales,16,0.0,0,4
130,2020-02-07,Northern Territory,16,0.0,0,0
131,2020-02-07,Queensland,16,17.647058823529413,1,5
132,2020-02-07,South Australia,16,0.0,0,2
133,2020-02-07,Tasmania,16,0.0,0,0
134,2020-02-07,Victoria,16,0.0,0,4
135,2020-02-07,Western Australia,16,0.0,0,0
136,2020-02-08,Australian Capital Territory,17,0.0,0,0
137,2020-02-08,New South Wales,17,0.0,0,4
138,2020-02-08,Northern Territory,17,0.0,0,0
139,2020-02-08,Queensland,17,15.0,0,5
140,2020-02-08,South Australia,17,0.0,0,2
141,2020-02-08,Tasmania,17,0.0,0,0
142,2020-02-08,Victoria,17,0.0,0,4
143,2020-02-08,Western Australia,17,0.0,0,0
144,2020-02-09,Australian Capital Territory,18,0.0,0,0
145,2020-02-09,New South Wales,18,0.0,0,4
146,2020-02-09,Northern Territory,18,0.0,0,0
147,2020-02-09,Queensland,18,9.090909090909092,0,5
148,2020-02-09,South Australia,18,0.0,0,2
149,2020-02-09,Tasmania,18,0.0,0,0
150,2020-02-09,Victoria,18,0.0,0,4
151,2020-02-09,Western Australia,18,0.0,0,0
152,2020-02-10,Australian Capital Territory,19,0.0,0,0
153,2020-02-10,New South Wales,19,0.0,0,4
154,2020-02-10,Northern Territory,19,0.0,0,0
155,2020-02-10,Queensland,19,8.333333333333334,0,5
156,2020-02-10,South Australia,19,0.0,0,2
157,2020-02-10,Tasmania,19,0.0,0,0
158,2020-02-10,Victoria,19,0.0,0,4
159,2020-02-10,Western Australia,19,0.0,0,0
160,2020-02-11,Australian Capital Territory,20,0.0,0,0
161,2020-02-11,New South Wales,20,0.0,0,4
162,2020-02-11,Northern Territory,20,0.0,0,0
163,2020-02-11,Queensland,20,4.0,0,5
164,2020-02-11,South Australia,20,0.0,0,2
165,2020-02-11,Tasmania,20,0.0,0,0
166,2020-02-11,Victoria,20,0.0,0,4
167,2020-02-11,Western Australia,20,0.0,0,0
168,2020-02-12,Australian Capital Territory,21,0.0,0,0
169,2020-02-12,New South Wales,21,0.0,0,4
170,2020-02-12,Northern Territory,21,0.0,0,0
171,2020-02-12,Queensland,21,0.0,0,5
172,2020-02-12,South Australia,21,0.0,0,2
173,2020-02-12,Tasmania,21,0.0,0,0
174,2020-02-12,Victoria,21,0.0,0,4
175,2020-02-12,Western Australia,21,0.0,0,0
176,2020-02-13,Australian Capital Territory,22,0.0,0,0
177,2020-02-13,New South Wales,22,0.0,0,4
178,2020-02-13,Northern Territory,22,0.0,0,0
179,2020-02-13,Queensland,22,0.0,0,5
180,2020-02-13,South Australia,22,0.0,0,2
181,2020-02-13,Tasmania,22,0.0,0,0
182,2020-02-13,Victoria,22,0.0,0,4
183,2020-02-13,Western Australia,22,0.0,0,0
184,2020-02-14,Australian Capital Territory,23,0.0,0,0
185,2020-02-14,New South Wales,23,0.0,0,4
186,2020-02-14,Northern Territory,23,0.0,0,0
187,2020-02-14,Queensland,23,0.0,0,5
188,2020-02-14,South Australia,23,0.0,0,2
189,2020-02-14,Tasmania,23,0.0,0,0
190,2020-02-14,Victoria,23,0.0,0,4
191,2020-02-14,Western Australia,23,0.0,0,0
192,2020-02-15,Australian Capital Territory,24,0.0,0,0
193,2020-02-15,New South Wales,24,0.0,0,4
194,2020-02-15,Northern Territory,24,0.0,0,0
195,2020-02-15,Queensland,24,0.0,0,5
196,2020-02-15,South Australia,24,0.0,0,2
197,2020-02-15,Tasmania,24,0.0,0,0
198,2020-02-15,Victoria,24,0.0,0,4
199,2020-02-15,Western Australia,24,0.0,0,0
200,2020-02-16,Australian Capital Territory,25,0.0,0,0
201,2020-02-16,New South Wales,25,0.0,0,4
202,2020-02-16,Northern Territory,25,0.0,0,0
203,2020-02-16,Queensland,25,0.0,0,5
204,2020-02-16,South Australia,25,0.0,0,2
205,2020-02-16,Tasmania,25,0.0,0,0
206,2020-02-16,Victoria,25,0.0,0,4
207,2020-02-16,Western Australia,25,0.0,0,0
208,2020-02-17,Australian Capital Territory,26,0.0,0,0
209,2020-02-17,New South Wales,26,0.0,0,4
210,2020-02-17,Northern Territory,26,0.0,0,0
211,2020-02-17,Queensland,26,0.0,0,5
212,2020-02-17,South Australia,26,0.0,0,2
213,2020-02-17,Tasmania,26,0.0,0,0
214,2020-02-17,Victoria,26,0.0,0,4
215,2020-02-17,Western Australia,26,0.0,0,0
216,2020-02-18,Australian Capital Territory,27,0.0,0,0
217,2020-02-18,New South Wales,27,0.0,0,4
218,2020-02-18,Northern Territory,27,0.0,0,0
219,2020-02-18,Queensland,27,0.0,0,5
220,2020-02-18,South Australia,27,0.0,0,2
221,2020-02-18,Tasmania,27,0.0,0,0
222,2020-02-18,Victoria,27,0.0,0,4
223,2020-02-18,Western Australia,27,0.0,0,0
224,2020-02-19,Australian Capital Territory,28,0.0,0,0
225,2020-02-19,New South Wales,28,0.0,0,4
226,2020-02-19,Northern Territory,28,0.0,0,0
227,2020-02-19,Queensland,28,0.0,0,5
228,2020-02-19,South Australia,28,0.0,0,2
229,2020-02-19,Tasmania,28,0.0,0,0
230,2020-02-19,Victoria,28,0.0,0,4
231,2020-02-19,Western Australia,28,0.0,0,0
232,2020-02-20,Australian Capital Territory,29,0.0,0,0
233,2020-02-20,New South Wales,29,0.0,0,4
234,2020-02-20,Northern Territory,29,0.0,0,0
235,2020-02-20,Queensland,29,0.0,0,5
236,2020-02-20,South Australia,29,0.0,0,2
237,2020-02-20,Tasmania,29,0.0,0,0
238,2020-02-20,Victoria,29,0.0,0,4
239,2020-02-20,Western Australia,29,0.0,0,0
240,2020-02-21,Australian Capital Territory,30,0.0,0,0
241,2020-02-21,New South Wales,30,0.0,0,4
242,2020-02-21,Northern Territory,30,0.0,0,0
243,2020-02-21,Queensland,30,0.0,0,5
244,2020-02-21,South Australia,30,0.0,0,2
245,2020-02-21,Tasmania,30,0.0,0,0
246,2020-02-21,Victoria,30,0.0,0,4
247,2020-02-21,Western Australia,30,0.0,0,0
248,2020-02-22,Australian Capital Territory,31,0.0,0,0
249,2020-02-22,New South Wales,31,0.0,0,4
250,2020-02-22,Northern Territory,31,0.0,0,0
251,2020-02-22,Queensland,31,0.0,0,5
252,2020-02-22,South Australia,31,0.0,0,2
253,2020-02-22,Tasmania,31,0.0,0,0
254,2020-02-22,Victoria,31,0.0,0,4
255,2020-02-22,Western Australia,31,0.0,0,0
256,2020-02-23,Australian Capital Territory,32,0.0,0,0
257,2020-02-23,New South Wales,32,0.0,0,4
258,2020-02-23,Northern Territory,32,0.0,0,0
259,2020-02-23,Queensland,32,0.0,0,5
260,2020-02-23,South Australia,32,0.0,0,2
261,2020-02-23,Tasmania,32,0.0,0,0
262,2020-02-23,Victoria,32,0.0,0,4
263,2020-02-23,Western Australia,32,0.0,0,0
264,2020-02-24,Australian Capital Territory,33,0.0,0,0
265,2020-02-24,New South Wales,33,0.0,0,4
266,2020-02-24,Northern Territory,33,0.0,0,0
267,2020-02-24,Queensland,33,0.0,0,5
268,2020-02-24,South Australia,33,0.0,0,2
269,2020-02-24,Tasmania,33,0.0,0,0
270,2020-02-24,Victoria,33,0.0,0,4
271,2020-02-24,Western Australia,33,0.0,0,0
272,2020-02-25,Australian Capital Territory,34,0.0,0,0
273,2020-02-25,New South Wales,34,0.0,0,4
274,2020-02-25,Northern Territory,34,0.0,0,0
275,2020-02-25,Queensland,34,0.0,0,5
276,2020-02-25,South Australia,34,0.0,0,2
277,2020-02-25,Tasmania,34,0.0,0,0
278,2020-02-25,Victoria,34,0.0,0,4
279,2020-02-25,Western Australia,34,0.0,0,0
280,2020-02-26,Australian Capital Territory,35,0.0,0,0
281,2020-02-26,New South Wales,35,0.0,0,4
282,2020-02-26,Northern Territory,35,0.0,0,0
283,2020-02-26,Queensland,35,0.0,0,5
284,2020-02-26,South Australia,35,0.0,0,2
285,2020-02-26,Tasmania,35,0.0,0,0
286,2020-02-26,Victoria,35,0.0,0,4
287,2020-02-26,Western Australia,35,0.0,0,0
288,2020-02-27,Australian Capital Territory,36,0.0,0,0
289,2020-02-27,New South Wales,36,0.0,0,4
290,2020-02-27,Northern Territory,36,0.0,0,0
291,2020-02-27,Queensland,36,0.0,0,5
292,2020-02-27,South Australia,36,0.0,0,2
293,2020-02-27,Tasmania,36,0.0,0,0
294,2020-02-27,Victoria,36,0.0,0,4
295,2020-02-27,Western Australia,36,0.0,0,0
296,2020-02-28,Australian Capital Territory,37,0.0,0,0
297,2020-02-28,New South Wales,37,0.0,0,4
298,2020-02-28,Northern Territory,37,0.0,0,0
299,2020-02-28,Queensland,37,0.0,0,5
300,2020-02-28,South Australia,37,0.0,0,2
301,2020-02-28,Tasmania,37,0.0,0,0
302,2020-02-28,Victoria,37,0.0,0,4
303,2020-02-28,Western Australia,37,0.0,0,0
304,2020-02-29,Australian Capital Territory,38,0.0,0,0
305,2020-02-29,New South Wales,38,0.0,0,4
306,2020-02-29,Northern Territory,38,0.0,0,0
307,2020-02-29,Queensland,38,13.793103448275861,4,9
308,2020-02-29,South Australia,38,9.090909090909092,1,3
309,2020-02-29,Tasmania,38,0.0,0,0
310,2020-02-29,Victoria,38,13.043478260869565,3,7
311,2020-02-29,Western Australia,38,100.0,2,2
312,2020-03-01,Australian Capital Territory,39,0.0,0,0
313,2020-03-01,New South Wales,39,9.090909090909092,2,6
314,2020-03-01,Northern Territory,39,0.0,0,0
315,2020-03-01,Queensland,39,12.121212121212123,0,9
316,2020-03-01,South Australia,39,8.333333333333334,0,3
317,2020-03-01,Tasmania,39,0.0,0,0
318,2020-03-01,Victoria,39,11.538461538461538,0,7
319,2020-03-01,Western Australia,39,50.0,0,2
320,2020-03-02,Australian Capital Territory,40,0.0,0,0
321,2020-03-02,New South Wales,40,8.333333333333334,0,6
322,2020-03-02,Northern Territory,40,0.0,0,0
323,2020-03-02,Queensland,40,10.81081081081081,0,9
324,2020-03-02,South Australia,40,7.6923076923076925,0,3
325,2020-03-02,Tasmania,40,100.0,1,1
326,2020-03-02,Victoria,40,16.129032258064516,2,9
327,2020-03-02,Western Australia,40,33.333333333333336,0,2
328,2020-03-03,Australian Capital Territory,41,0.0,0,0
329,2020-03-03,New South Wales,41,27.272727272727277,7,13
330,2020-03-03,Northern Territory,41,0.0,0,0
331,2020-03-03,Queensland,41,13.953488372093023,2,11
332,2020-03-03,South Australia,41,7.142857142857144,0,3
333,2020-03-03,Tasmania,41,50.0,0,1
334,2020-03-03,Victoria,41,13.88888888888889,0,9
335,2020-03-03,Western Australia,41,25.0,0,2
336,2020-03-04,Australian Capital Territory,42,0.0,0,0
337,2020-03-04,New South Wales,42,35.294117647058826,9,22
338,2020-03-04,Northern Territory,42,100.0,1,1
339,2020-03-04,Queensland,42,12.244897959183671,0,11
340,2020-03-04,South Australia,42,17.647058823529413,2,5
341,2020-03-04,Tasmania,42,33.333333333333336,0,1
342,2020-03-04,Victoria,42,14.285714285714285,1,10
343,2020-03-04,Western Australia,42,20.0,0,2
344,2020-03-05,Australian Capital Territory,43,0.0,0,0
345,2020-03-05,New South Wales,43,26.08695652173913,0,22
346,2020-03-05,Northern Territory,43,50.0,0,1
347,2020-03-05,Queensland,43,7.547169811320756,2,13
348,2020-03-05,South Australia,43,10.526315789473685,0,5
349,2020-03-05,Tasmania,43,25.0,0,1
350,2020-03-05,Victoria,43,6.666666666666667,0,10
351,2020-03-05,Western Australia,43,9.090909090909092,1,3
352,2020-03-06,Australian Capital Territory,44,0.0,0,0
353,2020-03-06,New South Wales,44,22.47191011235955,4,26
354,2020-03-06,Northern Territory,44,0.0,-1,0
355,2020-03-06,Queensland,44,7.017543859649122,0,13
356,2020-03-06,South Australia,44,17.39130434782609,2,7
357,2020-03-06,Tasmania,44,20.0,0,1
358,2020-03-06,Victoria,44,6.25,0,10
359,2020-03-06,Western Australia,44,8.333333333333334,0,3
360,2020-03-07,Australian Capital Territory,45,0.0,0,0
361,2020-03-07,New South Wales,45,19.819819819819823,2,28
362,2020-03-07,Northern Territory,45,0.0,0,0
363,2020-03-07,Queensland,45,6.557377049180328,0,13
364,2020-03-07,South Australia,45,14.814814814814813,0,7
365,2020-03-07,Tasmania,45,0.0,0,1
366,2020-03-07,Victoria,45,4.0,1,11
367,2020-03-07,Western Australia,45,7.6923076923076925,0,3
368,2020-03-08,Australian Capital Territory,46,0.0,0,0
369,2020-03-08,New South Wales,46,18.38235294117647,10,38
370,2020-03-08,Northern Territory,46,0.0,0,0
371,2020-03-08,Queensland,46,6.153846153846154,2,15
372,2020-03-08,South Australia,46,12.903225806451612,0,7
373,2020-03-08,Tasmania,46,16.666666666666668,1,2
374,2020-03-08,Victoria,46,3.8461538461538463,0,11
375,2020-03-08,Western Australia,46,7.142857142857144,0,3
376,2020-03-09,Australian Capital Territory,47,0.0,0,0
377,2020-03-09,New South Wales,47,16.049382716049383,10,48
378,2020-03-09,Northern Territory,47,-100.0,0,0
379,2020-03-09,Queensland,47,5.797101449275362,0,15
380,2020-03-09,South Australia,47,6.060606060606061,0,7
381,2020-03-09,Tasmania,47,14.285714285714288,0,2
382,2020-03-09,Victoria,47,8.771929824561402,4,15
383,2020-03-09,Western Australia,47,12.5,1,4
384,2020-03-10,Australian Capital Territory,48,0.0,0,0
385,2020-03-10,New South Wales,48,16.92307692307692,7,55
386,2020-03-10,Northern Territory,48,0.0,1,1
387,2020-03-10,Queensland,48,6.756756756756756,3,18
388,2020-03-10,South Australia,48,5.714285714285714,0,7
389,2020-03-10,Tasmania,48,12.5,0,2
390,2020-03-10,Victoria,48,12.307692307692308,3,18
391,2020-03-10,Western Australia,48,15.789473684210526,2,6
392,2020-03-11,Australian Capital Territory,49,0.0,0,0
393,2020-03-11,New South Wales,49,16.666666666666668,10,65
394,2020-03-11,Northern Territory,49,50.0,0,1
395,2020-03-11,Queensland,49,8.641975308641975,2,20
396,2020-03-11,South Australia,49,5.405405405405405,2,9
397,2020-03-11,Tasmania,49,20.0,1,3
398,2020-03-11,Victoria,49,14.473684210526317,3,21
399,2020-03-11,Western Australia,49,24.0,3,9
400,2020-03-12,Australian Capital Territory,50,0.0,0,0
401,2020-03-12,New South Wales,50,13.653136531365314,0,65
402,2020-03-12,Northern Territory,50,33.333333333333336,0,1
403,2020-03-12,Queensland,50,7.954545454545453,0,20
404,2020-03-12,South Australia,50,5.128205128205129,0,9
405,2020-03-12,Tasmania,50,16.666666666666668,0,3
406,2020-03-12,Victoria,50,11.627906976744185,0,21
407,2020-03-12,Western Australia,50,19.35483870967742,0,9
408,2020-03-13,Australian Capital Territory,51,100.0,1,1
409,2020-03-13,New South Wales,51,16.615384615384617,27,92
410,2020-03-13,Northern Territory,51,25.0,0,1
411,2020-03-13,Queensland,51,18.51851851851852,15,35
412,2020-03-13,South Australia,51,18.75,7,16
413,2020-03-13,Tasmania,51,20.0,2,5
414,2020-03-13,Victoria,51,22.52252252252252,15,36
415,2020-03-13,Western Australia,51,26.190476190476193,5,14
416,2020-03-14,Australian Capital Territory,52,50.0,0,1
417,2020-03-14,New South Wales,52,16.452442159383036,20,112
418,2020-03-14,Northern Territory,52,20.0,0,1
419,2020-03-14,Queensland,52,22.302158273381295,11,46
420,2020-03-14,South Australia,52,20.0,3,19
421,2020-03-14,Tasmania,52,16.666666666666664,0,5
422,2020-03-14,Victoria,52,23.448275862068964,13,49
423,2020-03-14,Western Australia,52,23.636363636363637,3,17
424,2020-03-15,Australian Capital Territory,53,33.333333333333336,0,1
425,2020-03-15,New South Wales,53,16.88034188034188,22,134
426,2020-03-15,Northern Territory,53,0.0,0,1
427,2020-03-15,Queensland,53,23.626373626373624,15,61
428,2020-03-15,South Australia,53,17.808219178082194,1,20
429,2020-03-15,Tasmania,53,18.181818181818183,1,6
430,2020-03-15,Victoria,53,21.195652173913047,8,57
431,2020-03-15,Western Australia,53,16.666666666666668,0,17
432,2020-03-16,Australian Capital Territory,54,40.0,1,2
433,2020-03-16,New South Wales,54,18.466898954703833,37,171
434,2020-03-16,Northern Territory,54,0.0,0,1
435,2020-03-16,Queensland,54,20.869565217391305,7,68
436,2020-03-16,South Australia,54,21.50537634408602,9,29
437,2020-03-16,Tasmania,54,15.384615384615385,1,7
438,2020-03-16,Victoria,54,21.36752136752137,14,71
439,2020-03-16,Western Australia,54,22.352941176470587,11,28
440,2020-03-17,Australian Capital Territory,55,28.571428571428577,0,2
441,2020-03-17,New South Wales,55,20.166898470097355,39,210
442,2020-03-17,Northern Territory,55,0.0,0,1
443,2020-03-17,Queensland,55,20.138888888888886,10,78
444,2020-03-17,South Australia,55,17.699115044247787,0,29
445,2020-03-17,Tasmania,55,13.333333333333334,0,7
446,2020-03-17,Victoria,55,23.778501628664493,23,94
447,2020-03-17,Western Australia,55,20.560747663551403,3,31
448,2020-03-18,Australian Capital Territory,56,22.222222222222225,1,3
449,2020-03-18,New South Wales,56,19.574944071588366,57,267
450,2020-03-18,Northern Territory,56,0.0,0,1
451,2020-03-18,Queensland,56,17.0028818443804,16,94
452,2020-03-18,South Australia,56,15.671641791044777,8,37
453,2020-03-18,Tasmania,56,14.285714285714285,3,10
454,2020-03-18,Victoria,56,21.683673469387756,27,121
455,2020-03-18,Western Australia,56,16.40625,4,35
456,2020-03-19,Australian Capital Territory,57,25.0,1,4
457,2020-03-19,New South Wales,57,17.90633608815427,40,307
458,2020-03-19,Northern Territory,57,0.0,0,1
459,2020-03-19,Queensland,57,22.022471910112362,50,144
460,2020-03-19,South Australia,57,14.64968152866242,5,42
461,2020-03-19,Tasmania,57,12.5,0,10
462,2020-03-19,Victoria,57,15.517241379310345,0,121
463,2020-03-19,Western Australia,57,21.47239263803681,17,52
464,2020-03-20,Australian Capital Territory,58,29.411764705882355,2,6
465,2020-03-20,New South Wales,58,16.743119266055043,46,353
466,2020-03-20,Northern Territory,58,28.571428571428577,2,3
467,2020-03-20,Queensland,58,21.65492957746479,40,184
468,2020-03-20,South Australia,58,16.0427807486631,8,50
469,2020-03-20,Tasmania,58,9.090909090909092,0,10
470,2020-03-20,Victoria,58,12.121212121212123,0,121
471,2020-03-20,Western Australia,58,22.380952380952383,12,64
472,2020-03-21,Australian Capital Territory,59,29.166666666666668,3,9
473,2020-03-21,New South Wales,59,16.846789574062303,83,436
474,2020-03-21,Northern Territory,59,22.222222222222225,0,3
475,2020-03-21,Queensland,59,21.220527045769767,37,221
476,2020-03-21,South Australia,59,16.88888888888889,17,67
477,2020-03-21,Tasmania,59,16.9811320754717,6,16
478,2020-03-21,Victoria,59,23.032069970845484,108,229
479,2020-03-21,Western Australia,59,22.794117647058826,26,90
480,2020-03-22,Australian Capital Territory,60,41.463414634146346,10,19
481,2020-03-22,New South Wales,60,22.588582677165356,233,669
482,2020-03-22,Northern Territory,60,30.76923076923077,2,5
483,2020-03-22,Queensland,60,20.066518847006655,38,259
484,2020-03-22,South Australia,60,23.986486486486484,33,100
485,2020-03-22,Tasmania,60,22.058823529411764,6,22
486,2020-03-22,Victoria,60,27.560718057022175,126,355
487,2020-03-22,Western Australia,60,24.653739612188367,30,120
488,2020-03-23,Australian Capital Territory,61,41.42857142857142,13,32
489,2020-03-23,New South Wales,61,16.516023007395237,0,669
490,2020-03-23,Northern Territory,61,23.529411764705884,0,5
491,2020-03-23,Queensland,61,19.964507542147295,60,319
492,2020-03-23,South Australia,61,24.681933842239186,34,134
493,2020-03-23,Tasmania,61,20.930232558139537,6,28
494,2020-03-23,Victoria,61,19.813717188823034,0,355
495,2020-03-23,Western Australia,61,22.532188841201716,20,140
496,2020-03-24,Australian Capital Territory,62,33.33333333333333,7,39
497,2020-03-24,New South Wales,62,17.351443123938882,149,818
498,2020-03-24,Northern Territory,62,22.727272727272727,1,6
499,2020-03-24,Queensland,62,18.333333333333336,78,397
500,2020-03-24,South Australia,62,24.568138195777355,36,170
501,2020-03-24,Tasmania,62,17.307692307692307,0,28
502,2020-03-24,Victoria,62,19.714479945615228,56,411
503,2020-03-24,Western Australia,62,20.882852292020377,35,175
504,2020-03-25,Australian Capital Territory,63,23.913043478260867,0,39
505,2020-03-25,New South Wales,63,18.668876001104664,211,1029
506,2020-03-25,Northern Territory,63,12.0,0,6
507,2020-03-25,Queensland,63,15.802318486882244,46,443
508,2020-03-25,South Australia,63,18.720748829953198,0,170
509,2020-03-25,Tasmania,63,20.0,8,36
510,2020-03-25,Victoria,63,18.997797356828194,55,466
511,2020-03-25,Western Australia,63,15.857142857142856,0,175
512,2020-03-26,Australian Capital Territory,64,24.17582417582418,14,53
513,2020-03-26,New South Wales,64,17.77929155313352,190,1219
514,2020-03-26,Northern Territory,64,26.47058823529412,6,12
515,2020-03-26,Queensland,64,14.23338566195709,50,493
516,2020-03-26,South Australia,64,20.7663782447466,65,235
517,2020-03-26,Tasmania,64,19.254658385093165,11,47
518,2020-03-26,Victoria,64,13.811105837683913,54,520
519,2020-03-26,Western Australia,64,16.765755053507732,56,231
520,2020-03-27,Australian Capital Territory,65,19.11111111111111,9,62
521,2020-03-27,New South Wales,65,14.319066147859921,186,1405
